[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense4/weight` to `mapping.dense4.linear.weight`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense4/bias` to `mapping.dense4.wscale.bias`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense5/weight` to `mapping.dense5.linear.weight`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense5/bias` to `mapping.dense5.wscale.bias`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense6/weight` to `mapping.dense6.linear.weight`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense6/bias` to `mapping.dense6.wscale.bias`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense7/weight` to `mapping.dense7.linear.weight`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `Dense7/bias` to `mapping.dense7.wscale.bias`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `4x4/Const/const` to `synthesis.layer0.first_layer`.
[2019-11-12 04:13:28,593][DEBUG]   Converting `4x4/Const/Noise/weight` to `synthesis.layer0.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Const/bias` to `synthesis.layer0.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Const/StyleMod/weight` to `synthesis.layer0.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Const/StyleMod/bias` to `synthesis.layer0.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Conv/weight` to `synthesis.layer1.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Conv/Noise/weight` to `synthesis.layer1.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Conv/bias` to `synthesis.layer1.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Conv/StyleMod/weight` to `synthesis.layer1.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `4x4/Conv/StyleMod/bias` to `synthesis.layer1.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv0_up/weight` to `synthesis.layer2.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv0_up/Noise/weight` to `synthesis.layer2.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv0_up/bias` to `synthesis.layer2.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv0_up/StyleMod/weight` to `synthesis.layer2.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv0_up/StyleMod/bias` to `synthesis.layer2.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv1/weight` to `synthesis.layer3.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv1/Noise/weight` to `synthesis.layer3.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv1/bias` to `synthesis.layer3.epilogue.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv1/StyleMod/weight` to `synthesis.layer3.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `8x8/Conv1/StyleMod/bias` to `synthesis.layer3.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv0_up/weight` to `synthesis.layer4.conv.weight`.
[2019-11-12 04:13:28,594][DEBUG]   Converting `16x16/Conv0_up/Noise/weight` to `synthesis.layer4.epilogue.apply_noise.weight`.
